id,user_id,start_lng,start_lat,end_lng,end_lat,tt,dis,start_time,end_time,loc,ds,distance,month,start_0_5,start_5_10,start10_15,start15_20,start20_24,origin_cluster,destination_cluster,Column: Observed,Column: Alternative,,
686,MBK86304052211538748110187,116.3049607,39.93217946,116.2938102,39.93129955,5,,2018/10/5 22:01,2018/10/5 22:06,BJwest,20181005,956.8472643,oct,0,0,0,0,1,31,7,0,,,
615,MBK01001135371537097132804,116.2961654,39.88134202,116.3012219,39.89018562,12,1429,2018/9/16 19:25,2018/9/16 19:37,BJwest,20180916,1075.04766,sep,0,0,0,1,0,18,7,0,,,
117,MBK01001374201535257649448,116.2582716,39.88858095,116.2632488,39.89260917,7,,2018/8/26 12:27,2018/8/26 12:34,BJwest,20180826,617.8967101,aug,0,0,1,0,0,7,9,0,,,
560,MBK01068408851538645010252,116.2938319,39.90943859,116.2959868,39.89725426,5,0,2018/10/4 17:23,2018/10/4 17:29,BJwest,20181004,1368.778683,oct,0,0,0,1,0,3,13,1,,,
604,MBK01067553231538455010067,116.2972951,39.91103578,116.2882313,39.91637339,9,,2018/10/2 12:36,2018/10/2 12:46,BJwest,20181002,975.6864185,oct,0,0,1,0,0,8,15,1,,,
488,MBK01065742441537773079103,116.2879814,39.86091605,116.2935443,39.85556559,6,140,2018/9/24 15:11,2018/9/24 15:18,BJwest,20180924,762.0498628,sep,0,0,0,1,0,29,9,1,,,
604,MBK01066295761540725092552,116.2961383,39.9117207,116.3037716,39.90803636,12,1693,2018/10/28 19:11,2018/10/28 19:23,BJwest,20181028,770.0949094,oct,0,0,0,1,0,8,16,0,,,
486,MBK86304476881538384252521,116.2878451,39.86532001,116.2829365,39.86677126,8,,2018/10/1 16:57,2018/10/1 17:05,BJwest,20181001,449.4387653,oct,0,0,0,1,0,32,9,0,,,
621,MBK86500686901535894348413,116.2983435,39.86555708,116.2879954,39.86907042,19,2956,2018/9/2 21:19,2018/9/2 21:38,BJwest,20180902,966.7940287,sep,0,0,0,0,1,32,18,1,,,
868,MBK86300835871538644382082,116.3163718,39.92692534,116.3045564,39.92533628,9,1223,2018/10/4 17:13,2018/10/4 17:22,BJwest,20181004,1024.046298,oct,0,0,0,1,0,24,16,1,,,
289,MBK01003223561535208195477,116.2707786,39.91144018,116.2631248,39.8946552,13,,2018/8/25 22:43,2018/8/25 22:57,BJwest,20180825,1979.516106,aug,0,0,0,0,1,17,6,1,,,
561,MBK01060542091534660566839,116.2922836,39.90664585,116.294711,39.91434643,14,1,2018/8/19 14:36,2018/8/19 14:50,BJwest,20180819,881.9278256,aug,0,0,1,0,0,18,25,1,,,
246,MBK01065069811539514868008,116.268549,39.90654352,116.2916096,39.92045087,18,3424,2018/10/14 19:01,2018/10/14 19:20,BJwest,20181014,2504.748187,oct,0,0,0,1,0,32,21,1,,,
656,MBK02266118921536999128664,116.3010796,39.89077949,116.3028267,39.89495645,4,772,2018/9/15 16:12,2018/9/15 16:16,BJwest,20180915,488.3348764,sep,0,0,0,1,0,7,20,1,,,
516,MBK01066533921539993850072,116.2898495,39.906557,116.2944131,39.90697248,2,,2018/10/20 8:04,2018/10/20 8:06,BJwest,20181020,392.4299289,oct,0,1,0,0,0,32,3,1,,,
705,MBK01066111651536387490232,116.3047292,39.88056572,116.2966157,39.88707518,9,,2018/9/8 14:18,2018/9/8 14:28,BJwest,20180908,1002.708837,sep,0,0,1,0,0,16,7,0,,,
690,MBK01067467671537589073398,116.3037737,39.92106905,116.2982024,39.91955398,4,67,2018/9/22 12:04,2018/9/22 12:08,BJwest,20180922,504.6624428,sep,0,0,1,0,0,21,1,1,,,
516,MBK86301254151537087051605,116.2892097,39.906099,116.2891271,39.90133225,4,,2018/9/16 16:37,2018/9/16 16:41,BJwest,20180916,530.6783519,sep,0,0,0,1,0,32,18,1,,,
302,MBK86525217621538430368910,116.2739136,39.87641973,116.277046,39.87697635,35,,2018/10/2 5:46,2018/10/2 6:22,BJwest,20181002,274.6788774,oct,0,1,0,0,0,20,18,0,,,
560,MBK01061443141538810598911,116.2923489,39.90777704,116.2698439,39.90602878,19,,2018/10/6 15:23,2018/10/6 15:43,BJwest,20181006,1931.571558,oct,0,0,0,1,0,3,32,0,,,
560,MBK86170194351539510148221,116.294849,39.90780376,116.2958718,39.91448728,4,,2018/10/14 17:42,2018/10/14 17:46,BJwest,20181014,749.114906,oct,0,0,0,1,0,3,7,0,,,
667,MBK86302183311539994741828,116.302291,39.8634564,116.2871016,39.85618656,14,0,2018/10/20 8:19,2018/10/20 8:33,BJwest,20181020,1529.566604,oct,0,1,0,0,0,7,7,0,,,
162,MBK86309386881539493080300,116.2639079,39.88859739,116.2597748,39.88810694,5,357,2018/10/14 12:58,2018/10/14 13:03,BJwest,20181014,357.2277704,oct,0,0,1,0,0,7,7,0,,,
156,MBK01000227571539417400651,116.2634367,39.90491485,116.2690401,39.90656395,5,,2018/10/13 15:56,2018/10/13 16:02,BJwest,20181013,512.5001784,oct,0,0,0,1,0,11,32,0,,,
339,MBK01065033171534647340561,116.2750438,39.89621832,116.2758013,39.89289659,7,616,2018/8/19 10:55,2018/8/19 11:03,BJwest,20180819,375.3906913,aug,0,0,1,0,0,17,12,0,,,
256,MBK01001857031537080957778,116.2686467,39.8792277,116.2806301,39.88852868,11,,2018/9/16 14:56,2018/9/16 15:07,BJwest,20180916,1455.961199,sep,0,0,1,0,0,13,19,1,,,
436,MBK01001028411535286760290,116.2818498,39.87909875,116.2725951,39.88210422,8,,2018/8/26 20:32,2018/8/26 20:41,BJwest,20180826,858.4559126,aug,0,0,0,0,1,18,7,0,,,
604,MBK86310657731536477687271,116.2983664,39.91011094,116.2962398,39.91186023,44,421,2018/9/9 15:21,2018/9/9 16:05,BJwest,20180909,266.2578878,sep,0,0,0,1,0,8,8,0,,,
428,MBK01001664601533367676247,116.2833982,39.89889299,116.277123,39.89914034,3,570,2018/8/4 15:27,2018/8/4 15:31,BJwest,20180804,536.6195847,aug,0,0,0,1,0,4,8,1,,,
470,MBK01066736711538790217670,116.2869376,39.90734637,116.2744536,39.90641585,7,,2018/10/6 9:43,2018/10/6 9:51,BJwest,20181006,1071.050192,oct,0,1,0,0,0,7,18,0,,,
612,MBK01001536011537799759751,116.2971951,39.88849696,116.3038286,39.88834135,3,,2018/9/24 22:36,2018/9/24 22:39,BJwest,20180924,566.8593891,sep,0,0,0,0,1,7,16,1,,,
733,MBK86307913971537109013473,116.3063305,39.92689118,116.3044075,39.9285333,5,,2018/9/16 22:43,2018/9/16 22:49,BJwest,20180916,245.6912839,sep,0,0,0,0,1,25,2,1,,,
569,MBK86300464551539505352789,116.2926982,39.88495011,116.294977,39.87997639,6,,2018/10/14 16:22,2018/10/14 16:28,BJwest,20181014,586.8942414,oct,0,0,0,1,0,7,7,0,,,
288,MBK86300009901538575474862,116.2738639,39.91283161,116.2797893,39.90600683,5,8,2018/10/3 22:04,2018/10/3 22:09,BJwest,20181003,912.7915382,oct,0,0,0,0,1,17,18,0,,,
482,MBK01065601581538695492927,116.2884298,39.8757636,116.3030337,39.88809843,12,,2018/10/5 7:25,2018/10/5 7:37,BJwest,20181005,1855.18183,oct,0,1,0,0,0,4,16,1,,,
604,MBK86300588101540733781582,116.2976514,39.91119517,116.2953369,39.90651735,3,,2018/10/28 21:36,2018/10/28 21:39,BJwest,20181028,556.9744461,oct,0,0,0,0,1,8,18,0,,,
155,MBK01000652741539507200721,116.2634133,39.90799173,116.2728211,39.90656817,5,957,2018/10/14 16:53,2018/10/14 16:59,BJwest,20181014,818.8217542,oct,0,0,0,1,0,7,18,0,,,
604,MBK01067872051537070238984,116.2971345,39.91071756,116.300921,39.90651366,6,,2018/9/16 11:57,2018/9/16 12:03,BJwest,20180916,568.806695,sep,0,0,1,0,0,8,17,0,,,
490,MBK86304652621539394375223,116.2876853,39.85508598,116.2821957,39.8604194,6,443,2018/10/13 9:32,2018/10/13 9:39,BJwest,20181013,756.6716578,oct,0,1,0,0,0,31,4,0,,,
513,MBK01067603421536398555551,116.2891907,39.91388669,116.2775968,39.91680524,15,,2018/9/8 17:22,2018/9/8 17:38,BJwest,20180908,1041.853964,sep,0,0,0,1,0,3,24,0,,,
338,MBK86301408961533377054473,116.2765346,39.89914747,116.2685173,39.90441406,93,,2018/8/4 18:04,2018/8/4 19:37,BJwest,20180804,901.3787426,aug,0,0,0,1,0,8,32,0,,,
332,MBK01002068801538590283654,116.277576,39.91710445,116.2829165,39.91856427,4,,2018/10/4 2:11,2018/10/4 2:15,BJwest,20181004,484.0569507,oct,1,0,0,0,0,24,26,1,,,
621,MBK01000965781540624447413,116.2986841,39.86556658,116.2806971,39.86805466,10,,2018/10/27 15:14,2018/10/27 15:24,BJwest,20181027,1561.598437,oct,0,0,0,1,0,32,4,0,,,
244,MBK86301270501538729694190,116.2696627,39.91178203,116.2710496,39.89431953,16,26,2018/10/5 16:54,2018/10/5 17:11,BJwest,20181005,1947.521955,oct,0,0,0,1,0,17,6,1,,,
115,MBK86300926741533386958616,116.2586807,39.89438745,116.265999,39.89711659,5,,2018/8/4 20:49,2018/8/4 20:54,BJwest,20180804,694.9447196,aug,0,0,0,0,1,6,16,0,,,
387,MBK86309451401537096750168,116.2786721,39.88902536,116.2744596,39.88538985,4,,2018/9/16 19:19,2018/9/16 19:23,BJwest,20180916,541.5223895,sep,0,0,0,1,0,19,7,0,,,
688,MBK86303663241534671841403,116.3042331,39.92611602,116.3044875,39.92489528,2,,2018/8/19 17:44,2018/8/19 17:46,BJwest,20180819,137.6165453,aug,0,0,0,1,0,2,16,0,,,
487,MBK86500044801538647416974,116.2881527,39.86126108,116.289683,39.86764515,4,832,2018/10/4 18:03,2018/10/4 18:07,BJwest,20181004,722.601528,oct,0,0,0,1,0,9,7,0,,,
836,MBK86304492851538524004078,116.3141448,39.89128988,116.3005061,39.89218371,12,,2018/10/3 7:46,2018/10/3 7:59,BJwest,20181003,1169.135199,oct,0,1,0,0,0,42,7,0,,,
515,MBK86303631081536459367088,116.2903,39.90765477,116.2945891,39.90769745,2,374,2018/9/9 10:16,2018/9/9 10:18,BJwest,20180909,366.2751858,sep,0,0,1,0,0,12,3,1,,,
487,MBK86309036881533430218760,116.2882946,39.86326145,116.3022538,39.86504451,5,1416,2018/8/5 8:50,2018/8/5 8:55,BJwest,20180805,1209.149699,aug,0,1,0,0,0,9,39,1,,,
739,MBK86301190131537112173745,116.3079651,39.90991989,116.2887162,39.92005331,13,,2018/9/16 23:36,2018/9/16 23:49,BJwest,20180916,1993.384801,sep,0,0,0,0,1,9,26,1,,,
576,MBK86170106771538408523299,116.2933537,39.86544059,116.2888452,39.87124129,4,1097,2018/10/1 23:42,2018/10/1 23:46,BJwest,20181001,751.8987578,oct,0,0,0,0,1,18,7,0,,,
338,MBK86300768121540696185505,116.2763187,39.8991706,116.2856999,39.8985428,4,,2018/10/28 11:09,2018/10/28 11:14,BJwest,20181028,804.2100177,oct,0,0,1,0,0,8,9,0,,,
338,MBK86187548611538483227948,116.2750333,39.90060914,116.2775608,39.91116525,7,1376,2018/10/2 20:27,2018/10/2 20:34,BJwest,20181002,1194.759387,oct,0,0,0,0,1,8,4,0,,,
759,MBK01065619231537763068344,116.306912,39.85664843,116.2990033,39.85679787,3,,2018/9/24 12:24,2018/9/24 12:28,BJwest,20180924,676.0397886,sep,0,0,1,0,0,7,32,0,,,
301,MBK86304679701538716473809,116.2716469,39.87780685,116.2673966,39.87647928,7,,2018/10/5 13:14,2018/10/5 13:21,BJwest,20181005,392.0244531,oct,0,0,1,0,0,7,9,0,,,
254,MBK01068030451535874683967,116.2686572,39.88355048,116.2722602,39.87677028,8,,2018/9/2 15:51,2018/9/2 16:00,BJwest,20180902,815.1145185,sep,0,0,0,1,0,13,20,1,,,
660,MBK86302169431540701016681,116.2998599,39.88111629,116.2906528,39.88328901,30,,2018/10/28 12:30,2018/10/28 13:00,BJwest,20181028,822.8377011,oct,0,0,1,0,0,18,18,0,,,
867,MBK01065315771539424274817,116.3197023,39.92978422,116.2943331,39.92239649,2,125,2018/10/13 17:51,2018/10/13 17:54,BJwest,20181013,2316.607934,oct,0,0,0,1,0,13,31,0,,,
695,MBK01067733041536393101314,116.3027837,39.90767052,116.3037406,39.91772536,13,1625,2018/9/8 15:51,2018/9/8 16:05,BJwest,20180908,1122.277284,sep,0,0,0,1,0,16,30,1,,,
656,MBK01000259461534053895847,116.3022215,39.89256007,116.2965177,39.88504819,6,648,2018/8/12 14:05,2018/8/12 14:11,BJwest,20180812,967.785959,aug,0,0,1,0,0,7,25,1,,,
383,MBK02200759681536373307701,116.2796869,39.89896055,116.2819837,39.90608044,9,1377,2018/9/8 10:21,2018/9/8 10:31,BJwest,20180908,816.4924933,sep,0,0,1,0,0,9,24,0,,,
295,MBK01001569141534677323351,116.2725266,39.8933802,116.2728581,39.90060317,10,,2018/8/19 19:15,2018/8/19 19:26,BJwest,20180819,804.5557107,aug,0,0,0,1,0,6,42,0,,,
302,MBK86301828571539389262528,116.2724392,39.87632911,116.2779577,39.87719117,7,807,2018/10/13 8:07,2018/10/13 8:15,BJwest,20181013,481.1099663,oct,0,1,0,0,0,20,9,0,,,
686,MBK86305857811536405099023,116.3047503,39.93136087,116.2974205,39.93218908,6,,2018/9/8 19:11,2018/9/8 19:17,BJwest,20180908,632.4304857,sep,0,0,0,1,0,31,12,0,,,
702,MBK01067845471539403187178,116.3031039,39.88848652,116.2964787,39.8869542,5,1,2018/10/13 11:59,2018/10/13 12:04,BJwest,20181013,591.047261,oct,0,0,1,0,0,16,7,0,,,
158,MBK86303706441537077341183,116.2630869,39.89900396,116.2684123,39.90449408,6,,2018/9/16 13:55,2018/9/16 14:01,BJwest,20180916,761.7970491,sep,0,0,1,0,0,9,32,0,,,
516,MBK86170138511540610898966,116.289442,39.90689847,116.2861338,39.89915472,5,,2018/10/27 11:28,2018/10/27 11:33,BJwest,20181027,907.1414983,oct,0,0,1,0,0,32,9,0,,,
419,MBK01001173371538388385818,116.2824177,39.92460394,116.2877714,39.93076346,7,6,2018/10/1 18:06,2018/10/1 18:13,BJwest,20181001,824.0287258,oct,0,0,0,1,0,22,17,0,,,
